ts,price,score,signal
2025-11-27T21:30:00+00:00,91569.84,0.0,HOLD
2025-11-27T21:30:00+00:00,91568.73,0.0,HOLD
2025-11-27T21:30:00+00:00,91577.78,0.0,HOLD
2025-11-27T21:30:00+00:00,91577.78,0.0,HOLD
2025-11-27T21:30:00+00:00,91575.55,0.0,HOLD
2025-11-27T21:30:00+00:00,91575.56,0.0,HOLD
2025-11-27T21:30:00+00:00,91575.56,0.0,HOLD
2025-11-27T21:30:00+00:00,91574.96,0.0,HOLD
2025-11-27T21:30:00+00:00,91558.08,0.0,HOLD
2025-11-27T21:30:00+00:00,91541.4,0.0,HOLD
2025-11-27T21:45:00+00:00,91570.01,0.0,HOLD
2025-11-27T21:45:00+00:00,91577.51,0.0,HOLD
2025-11-27T21:45:00+00:00,91557.35,0.0,HOLD
2025-11-27T21:45:00+00:00,91527.82,0.0,HOLD
2025-11-27T21:45:00+00:00,91497.97,0.0,HOLD
2025-11-27T21:45:00+00:00,91504.59,0.0,HOLD
2025-11-27T21:45:00+00:00,91503.32,0.0,HOLD
2025-11-27T21:45:00+00:00,91493.86,0.0,HOLD
2025-11-27T21:45:00+00:00,91497.65,0.0,HOLD
2025-11-27T21:45:00+00:00,91462.26,0.0,HOLD
2025-11-27T21:45:00+00:00,91470.09,0.0,HOLD
2025-11-27T21:45:00+00:00,91460.01,0.0,HOLD
2025-11-27T21:45:00+00:00,91459.02,0.0,HOLD
2025-11-27T21:45:00+00:00,91469.22,0.0,HOLD
2025-11-27T21:45:00+00:00,91469.22,0.0,HOLD
2025-11-27T21:45:00+00:00,91469.22,0.0,HOLD
2025-11-27T21:45:00+00:00,91485.43,0.0,HOLD
2025-11-27T21:45:00+00:00,91494.84,0.0,HOLD
2025-11-27T21:45:00+00:00,91494.83,-0.3,HOLD
2025-11-27T21:45:00+00:00,91484.85,-0.3,HOLD
2025-11-27T21:45:00+00:00,91484.84,-0.3,HOLD
2025-11-27T21:45:00+00:00,91484.85,-0.3,HOLD
2025-11-27T21:45:00+00:00,91470.26,-0.3,HOLD
2025-11-27T21:45:00+00:00,91482.88,-0.3,HOLD
2025-11-27T22:30:00+00:00,91578.99,0.0,HOLD
2025-11-27T22:30:00+00:00,91586.59,0.0,HOLD
