entry_time,entry_price,qty,exit_time,exit_price,pnl
2025-08-28 23:30:00+00:00,112503.28615799999,4.444314624710592e-06,2025-08-29 01:45:00+00:00,111463.7028,-0.005217463380252159
2025-08-29 13:00:00+00:00,110699.795532,4.516484518154067e-06,2025-08-29 14:15:00+00:00,108624.99065600001,-0.009965170301403876
2025-08-29 23:30:00+00:00,108561.708,4.604976248453937e-06,2025-08-30 01:45:00+00:00,107426.480406,-0.005824468393493226
2025-08-30 04:45:00+00:00,108457.277118,4.609141753999094e-06,2025-08-30 14:00:00+00:00,108451.99526200001,-0.0006242041735218824
2025-08-30 15:30:00+00:00,108947.57515799999,4.5883705327428735e-06,2025-08-30 21:15:00+00:00,108597.656124,-0.0022044650617032494
2025-08-31 00:30:00+00:00,109227.861204,4.576495553729126e-06,2025-08-31 05:15:00+00:00,108562.003256,-0.0036453245462462957
2025-08-31 16:00:00+00:00,108822.77020199999,4.5933639953555445e-06,2025-08-31 23:15:00+00:00,108366.28240800001,-0.0026953916219452406
2025-09-01 07:15:00+00:00,108457.80722399999,4.608696509327902e-06,2025-09-01 12:30:00+00:00,108944.876666,0.0016435894429283064
2025-09-01 14:00:00+00:00,109246.724976,4.575490346457834e-06,2025-09-01 15:15:00+00:00,108681.419368,-0.003184827224602919
2025-09-01 19:30:00+00:00,109284.932616,4.573744974799197e-06,2025-09-01 21:15:00+00:00,108091.117452,-0.006056739677168206
2025-09-02 00:45:00+00:00,109062.168072,4.58280938762698e-06,2025-09-02 11:30:00+00:00,109890.307542,0.0031931548609676033
2025-09-02 14:45:00+00:00,111382.28200199999,4.487491946346035e-06,2025-09-03 03:00:00+00:00,111056.73421,-0.0020598090710334145
2025-09-03 09:15:00+00:00,111156.756906,4.496503931172931e-06,2025-09-03 20:45:00+00:00,112188.867738,0.0040383257259609786
2025-09-04 10:30:00+00:00,110942.404044,4.505373669698524e-06,2025-09-04 14:00:00+00:00,109788.23796,-0.005796633898860923
2025-09-04 20:00:00+00:00,110192.54410199999,4.535769701448673e-06,2025-09-05 14:45:00+00:00,110547.876002,0.0010109670403426123
2025-09-05 20:30:00+00:00,111570.08955599999,4.47981228380865e-06,2025-09-05 22:45:00+00:00,110777.84,-0.004146775484473361
2025-09-06 03:15:00+00:00,111272.260002,4.491616543172524e-06,2025-09-06 06:00:00+00:00,110693.866798,-0.003196112519840214
2025-09-06 13:00:00+00:00,110920.159596,4.5057304738732205e-06,2025-09-06 15:45:00+00:00,110362.07317,-0.0031128098763834504
2025-09-06 23:00:00+00:00,110195.62471799999,4.535214356179085e-06,2025-09-07 17:45:00+00:00,110940.637434,0.002777052154669107
2025-09-07 21:00:00+00:00,111263.808312,4.491799014002185e-06,2025-09-08 01:15:00+00:00,110781.699228,-0.002763967383251751
2025-09-08 07:00:00+00:00,111288.35322,4.490684156724855e-06,2025-09-08 19:15:00+00:00,112178.749762,0.003396377537015725
2025-09-09 05:30:00+00:00,112004.29637999999,4.462130852776656e-06,2025-09-09 12:15:00+00:00,112760.373414,0.002771957039866159
2025-09-09 21:15:00+00:00,111426.690882,4.485385703818608e-06,2025-09-10 01:15:00+00:00,110924.47066800001,-0.0028510498007905593
2025-09-10 04:00:00+00:00,111563.85831,4.479743159009557e-06,2025-09-10 19:15:00+00:00,113208.95368,0.006765450049569715
2025-09-10 22:00:00+00:00,113952.15587399999,4.386150086180351e-06,2025-09-11 09:00:00+00:00,113880.399364,-0.0009143194915955719
2025-09-11 14:15:00+00:00,114177.53094,4.377452223698645e-06,2025-09-11 20:15:00+00:00,114246.04622,-0.000300025612677179
2025-09-11 21:45:00+00:00,114505.586538,4.364897833310468e-06,2025-09-12 04:45:00+00:00,115336.918002,0.003026733475934852
2025-09-12 14:45:00+00:00,115283.052,4.33559236659557e-06,2025-09-12 23:15:00+00:00,116069.211514,0.002806637723213336
2025-09-13 08:45:00+00:00,116001.20560199999,4.308872057352467e-06,2025-09-13 14:00:00+00:00,115665.21233000001,-0.0020466845940916114
2025-09-13 20:15:00+00:00,115929.061176,4.311465261120918e-06,2025-09-14 03:00:00+00:00,115684.848402,-0.0016520720865057412
2025-09-14 09:00:00+00:00,115984.54227,4.3093316563748096e-06,2025-09-14 12:45:00+00:00,115753.154738,-0.0015963063727532545
2025-09-14 18:45:00+00:00,115411.28764200001,4.330667201918484e-06,2025-09-15 00:15:00+00:00,115183.32872599999,-0.0015863913261324914
2025-09-15 04:30:00+00:00,116090.703498,4.305253832615196e-06,2025-09-15 08:45:00+00:00,114714.32254600001,-0.006521873902514188
2025-09-15 17:45:00+00:00,115143.05400599999,4.340403692698684e-06,2025-09-16 00:45:00+00:00,115065.64226800001,-0.0009355173987127508
2025-09-16 05:00:00+00:00,115849.535274,4.313894380562215e-06,2025-09-16 10:30:00+00:00,115412.20294199999,-0.002485188717210424
2025-09-16 16:30:00+00:00,115872.389844,4.312936273589288e-06,2025-09-17 01:30:00+00:00,116625.72019000001,0.0026474160558750243
2025-09-17 06:30:00+00:00,117177.13074,4.265025668317931e-06,2025-09-17 10:15:00+00:00,116367.101924,-0.004052436980516888
2025-09-17 21:15:00+00:00,115825.32043200001,4.31462832390296e-06,2025-09-18 08:15:00+00:00,117296.575992,0.005744420308535891
2025-09-18 13:00:00+00:00,117410.32737,4.256626665281617e-06,2025-09-18 20:45:00+00:00,117497.63577200001,-0.00022831002782196903
2025-09-19 23:45:00+00:00,115655.506476,4.3212018514324335e-06,2025-09-20 03:45:00+00:00,115421.91100000001,-0.0016085325019102974
2025-09-20 06:15:00+00:00,115700.795532,4.3194408798314215e-06,2025-09-20 18:15:00+00:00,115770.79121,-0.00029755450761102136
