ts,open,high,low,close,volume,ma10,ma30,rsi14,macd,macd_signal,signal
2025-08-28 17:30:00+00:00,112557.17,112617.86,112557.16,112605.79,24.49371,112605.79,112605.79,50.0,0.0,0.0,HOLD
2025-08-28 17:45:00+00:00,112605.79,112614.87,112355.0,112387.99,94.81956,112496.89,112496.89,0.0,-17.374358974353527,-3.4748717948707055,SELL
2025-08-28 18:00:00+00:00,112388.0,112396.38,112230.76,112276.96,83.5031,112423.58,112423.58,0.0,-39.64584410839598,-10.70906625757576,SELL
2025-08-28 18:15:00+00:00,112276.97,112648.97,112276.97,112646.01,62.76291,112479.1875,112479.1875,52.881584226514775,-27.203322841814952,-14.0079175744236,HOLD
2025-08-28 18:30:00+00:00,112646.01,112718.2,112534.61,112534.61,72.31497,112490.272,112490.272,45.6022637406092,-26.031509053573245,-16.412635870253528,SELL
2025-08-28 18:45:00+00:00,112534.62,112555.17,112307.28,112373.59,81.20281,112470.825,112470.825,38.03462846542289,-37.6616662387969,-20.662441943962204,SELL
2025-08-28 19:00:00+00:00,112373.58,112575.84,112308.48,112423.87,76.4115,112464.11714285714,112464.11714285714,41.08742087832393,-42.3334798028518,-24.996649515740124,SELL
2025-08-28 19:15:00+00:00,112423.87,112423.88,112180.0,112361.31,80.94356,112451.26625,112451.26625,38.71429362778577,-50.50184108747635,-30.09768783008737,SELL
2025-08-28 19:30:00+00:00,112361.31,112412.84,112014.12,112047.36,119.65375,112406.38777777778,112406.38777777778,30.014530202062645,-81.37047923255886,-40.35224611058167,SELL
2025-08-28 19:45:00+00:00,112047.37,112180.48,111901.35,111901.36,125.67249,112355.88500000001,112355.88500000001,27.17469493030194,-116.27473442618793,-55.53674377370292,SELL
2025-08-28 20:00:00+00:00,111901.36,112005.24,111872.06,111994.42,89.28617,112294.74799999999,112323.02454545455,31.316810805854956,-134.87271516848705,-71.40393805265975,SELL
2025-08-28 20:15:00+00:00,111994.41,112111.05,111972.67,112012.21,54.851729999999996,112257.17,112297.12333333334,32.055576381247306,-146.4876264034101,-86.42067572280983,SELL
2025-08-28 20:30:00+00:00,112012.22,112073.43,111905.24,112017.4,36.96929,112231.21399999999,112275.60615384615,32.26811642246197,-153.50423632930324,-99.83738784410852,SELL
2025-08-28 20:45:00+00:00,112017.41,112052.21,111902.49,111902.49,44.46452,112156.86200000001,112248.955,30.178011769745652,-166.41885394841665,-113.15368106497016,SELL
2025-08-28 21:00:00+00:00,111902.5,112127.44,111900.0,112127.44,46.633700000000005,112116.14499999999,112240.854,38.03520777992876,-156.6959036049957,-121.86212557297527,SELL
2025-08-28 21:15:00+00:00,112128.0,112133.65,111932.0,111972.98,68.63517,112076.084,112224.111875,39.27982848138825,-159.6140946053929,-129.41251937945881,SELL
2025-08-28 21:30:00+00:00,111972.98,111985.91,111908.0,111908.65,57.39895,112024.562,112205.55529411764,40.25093305804764,-165.21320043641026,-136.5726555908491,SELL
2025-08-28 21:45:00+00:00,111908.66,112081.01,111908.65,112025.07,52.40898,111990.938,112195.52833333334,31.026327368730122,-158.43012722212006,-140.94414991710332,SELL
2025-08-28 22:00:00+00:00,112025.07,112297.02,112025.06,112288.04,62.339040000000004,112015.00600000001,112200.39736842104,43.10444154841716,-130.33261826822127,-138.82184358732692,HOLD
2025-08-28 22:15:00+00:00,112288.04,112411.65,112252.51,112400.0,66.79720999999999,112064.87,112210.37749999999,50.75941868957873,-97.90234637251706,-130.63794414436495,HOLD
2025-08-28 22:30:00+00:00,112399.99,112509.33,112337.16,112383.69,76.63713,112103.79699999999,112218.63047619049,48.82160411998658,-72.67940005681885,-119.04623532685574,HOLD
2025-08-28 22:45:00+00:00,112383.69,112465.07,112340.63,112340.64,120.56165999999999,112136.63999999998,112224.17636363636,49.386774260539404,-55.52376519344398,-106.3417413001734,HOLD
2025-08-28 23:00:00+00:00,112340.64,112471.54,112305.15,112374.36,105.53743999999999,112172.33599999998,112230.70608695653,61.63601685265319,-38.76007673701679,-92.82540838754208,HOLD
2025-08-28 23:15:00+00:00,112374.35,112477.76,112324.62,112392.2,72.532,112221.307,112237.435,69.21908282170153,-23.76128861034522,-79.01258443210271,HOLD
2025-08-28 23:30:00+00:00,112392.21,112509.33,112336.78,112480.79,80.5204,112256.64199999999,112247.1692,69.11095568530986,-4.67230886881589,-64.14452931944535,BUY
2025-08-28 23:45:00+00:00,112480.79,112575.98,112450.0,112566.9,61.733760000000004,112316.03399999999,112259.46653846154,70.68488451010937,17.205863964220043,-47.87445066271228,BUY
2025-08-29 00:00:00+00:00,112566.9,112566.91,112352.29,112428.76,105.73921,112368.045,112265.73666666668,63.95613939854528,23.13108924406697,-33.67334268135643,BUY
2025-08-29 00:15:00+00:00,112428.76,112638.64,112328.7,112600.0,132.70608,112425.53799999999,112277.67464285715,72.79310367363978,41.169928546019946,-18.704688435881156,BUY
2025-08-29 00:30:00+00:00,112600.0,112607.89,112222.09,112236.46,121.05284,112420.37999999998,112276.25344827586,53.266653882110525,25.833407445883495,-9.797069259528225,BUY
2025-08-29 00:45:00+00:00,112236.45,112272.0,112129.13,112200.94,87.12372,112400.474,112273.743,57.354782092480214,10.68971248199523,-5.699712911223535,BUY
