ts,open,high,low,close,volume,EMA50,EMA200,RSI,ATR,EMA50_slope,Signal,Score,Position,Returns,Equity
2025-08-28 23:00:00+00:00,112340.64,112471.54,112305.15,112374.36,105.53744,112371.18250013792,112527.74353266358,61.63601685265319,174.432857142857,0.12969387193152215,HOLD,-0.2,-1.0,-0.0003001585178792343,100.00093125275454
2025-08-28 23:15:00+00:00,112374.35,112477.76,112324.62,112392.2,72.532,112372.00671581879,112526.39484079627,69.21908282170153,165.43357142857192,0.8242156808701111,SELL,-0.6000000000000001,0.0,0.0,100.00093125275454
2025-08-28 23:30:00+00:00,112392.21,112509.33,112336.78,112480.79,80.5204,112376.27272696316,112525.94106128586,69.11095568530986,168.24571428571446,4.2660111443692585,SELL,-0.6000000000000001,-1.0,-0.0007882219584631756,100.00014303079608
2025-08-28 23:45:00+00:00,112480.79,112575.98,112450.0,112566.9,61.73376,112383.74830629794,112526.34861291487,70.68488451010937,167.35999999999953,7.475579334786744,SELL,-0.6000000000000001,-1.0,-0.0007655529446406462,99.99937747785144
2025-08-29 00:00:00+00:00,112566.9,112566.91,112352.29,112428.76,105.73921,112385.51347075685,112525.3775819406,63.95613939854528,170.67642857142968,1.7651644589059288,HOLD,-0.2,-1.0,0.0012271813472699566,100.00060465919871
2025-08-29 00:15:00+00:00,112428.76,112638.64,112328.7,112600.0,132.70608,112393.92470719776,112526.12009356309,72.79310367363978,182.12071428571548,8.411236440908397,SELL,-0.6000000000000001,0.0,0.0,100.00060465919871
2025-08-29 00:30:00+00:00,112600.0,112607.89,112222.09,112236.46,121.05284,112387.74962064099,112523.23790357739,53.266653882110525,193.4321428571441,-6.175086556773749,SELL,-0.6000000000000001,-1.0,0.003228596802841821,100.00383325600156
2025-08-29 00:45:00+00:00,112236.45,112272.0,112129.13,112200.94,87.12372,112380.42375316487,112520.0309592632,57.354782092480214,189.23357142857276,-7.3258674761164,SELL,-0.6000000000000001,-1.0,0.0003164746999326784,100.00414973070149
2025-08-29 01:00:00+00:00,112200.94,112271.38,111902.49,111926.35,126.54064,112362.61693931527,112514.1236860367,50.50284090909124,210.0178571428582,-17.806813849601895,SELL,-0.6000000000000001,-1.0,0.0024473056999343434,100.00659703640142
2025-08-29 01:15:00+00:00,111926.36,111926.36,111425.28,111551.91,298.20354,112330.82451032252,112504.549420504,38.2766275854549,233.49785714285827,-31.792428992746864,SELL,-0.6000000000000001,-1.0,0.0033454141942447224,100.00994245059566
2025-08-29 01:30:00+00:00,111551.92,111709.56,111467.18,111650.88,110.05451,112304.16001972165,112496.05519741442,32.81679809279329,231.38500000000099,-26.66449060087325,HOLD,-0.2,-1.0,-0.0008872102682957461,100.00905524032737
2025-08-29 01:45:00+00:00,111650.88,111715.38,111444.06,111486.0,184.66529,112272.0753130659,112486.00489694264,26.034904087176344,239.39785714285867,-32.08470665574714,HOLD,-0.2,0.0,-0.0,100.00905524032737
2025-08-29 02:00:00+00:00,111486.0,111689.74,111407.48,111654.63,133.33359000000002,112247.86177137705,112477.7325099084,32.29800996474475,247.2614285714309,-24.213541688848636,HOLD,-0.2,0.0,0.0,100.00905524032737
2025-08-29 02:15:00+00:00,111654.62,111770.44,111459.86,111542.12,159.77237,112220.18562347992,112468.42293269538,31.244127926641397,260.55714285714515,-27.67614789713116,HOLD,-0.2,0.0,-0.0,100.00905524032737
2025-08-29 02:30:00+00:00,111542.13,111589.67,111400.01,111400.58,140.9938,112188.0442264807,112457.7976298825,28.230212739320663,262.2192857142883,-32.14139699921361,HOLD,-0.2,0.0,-0.0,100.00905524032737
2025-08-29 02:45:00+00:00,111400.58,111516.53,111361.35,111419.98,113.3998,112157.92406073636,112447.47108630158,28.280237701621942,262.3650000000021,-30.120165744345286,HOLD,-0.2,0.0,0.0,100.00905524032737
2025-08-29 03:00:00+00:00,111419.98,111606.6,111302.27,111513.19,170.5685,112132.64037208003,112438.17475708465,28.427980309624374,271.7778571428592,-25.283688656330924,HOLD,-0.2,0.0,0.0,100.00905524032737
2025-08-29 03:15:00+00:00,111513.19,111647.16,111504.02,111611.47,78.66312,112112.20231827298,112429.94883910372,28.814265884367146,273.0035714285737,-20.43805380705453,HOLD,-0.2,0.0,0.0,100.00905524032737
2025-08-29 03:30:00+00:00,111611.46,111798.22,111568.01,111745.95,109.14872,112097.83948226228,112423.14288050568,34.83473478942635,274.11714285714487,-14.3628360106959,HOLD,-0.2,0.0,0.0,100.00905524032737
2025-08-29 03:45:00+00:00,111745.96,111823.19,111704.23,111704.23,51.04048,112082.40381629122,112415.9895185106,28.890376158852973,260.4757142857166,-15.435665971061098,HOLD,-0.2,0.0,-0.0,100.00905524032737
2025-08-29 04:00:00+00:00,111704.24,111850.56,111605.82,111666.92,98.42543,112066.11033329941,112408.53609046573,34.139617261122226,250.40000000000146,-16.29348299180856,HOLD,-0.2,0.0,-0.0,100.00905524032737
2025-08-29 04:15:00+00:00,111666.92,111728.71,111617.39,111674.03,89.09249,112050.73463395434,112401.22757215264,35.09085661575372,248.14642857143085,-15.375699345066096,SELL,-0.6000000000000001,0.0,0.0,100.00905524032737
2025-08-29 04:30:00+00:00,111674.02,111674.03,111531.26,111578.08,87.4917,112032.199158113,112393.03704904664,39.03728839168228,231.99500000000262,-18.535475841345033,SELL,-0.6000000000000001,-1.0,0.0008591970756316458,100.009914437403
2025-08-29 04:45:00+00:00,111578.07,111620.0,111420.87,111502.0,121.49,112011.40703426543,112384.17100875764,48.06560884293088,210.4271428571457,-20.79212384756829,SELL,-0.6000000000000001,-1.0,0.0006818543570564772,100.01059629176005
2025-08-29 05:00:00+00:00,111502.01,111583.13,111402.79,111439.49,113.18008,111988.97891527464,112374.77119772523,41.568749451583855,205.99571428571758,-22.428118990792427,SELL,-0.6000000000000001,-1.0,0.000560617746766856,100.01115690950682
2025-08-29 05:15:00+00:00,111439.49,111439.49,111252.82,111314.7,134.10725000000002,111962.53660487171,112364.22322560857,42.942019909024886,199.94928571428838,-26.442310402926523,SELL,-0.6000000000000001,-1.0,0.0011198005303147962,100.01227671003714
2025-08-29 05:30:00+00:00,111314.7,111314.7,111154.01,111180.0,136.31262,111931.84889487675,112352.43990993088,29.881569019743893,191.26571428571646,-30.68770999496337,HOLD,-0.2,-1.0,0.0012100827653490631,100.01348679280248
2025-08-29 05:45:00+00:00,111180.0,111315.43,111133.64,111315.42,125.23786,111907.67521272472,112342.12130386192,40.57380457380458,182.06642857143015,-24.173682152031688,SELL,-0.6000000000000001,0.0,0.0,100.01348679280248
2025-08-29 06:00:00+00:00,111315.42,111401.06,111123.0,111141.1,187.30375,111877.61343967669,112330.17084312698,39.4971180623017,188.38071428571544,-30.061773048029863,SELL,-0.6000000000000001,-1.0,0.0015660004696563812,100.01505279327215
2025-08-29 06:15:00+00:00,111141.09,111165.14,111000.0,111000.01,114.74243,111843.1976185129,112316.93541185209,34.52545008364221,189.09214285714447,-34.41582116378413,HOLD,-0.2,-1.0,0.0012694673707567272,100.0163222606429
2025-08-29 06:30:00+00:00,111000.01,111252.83,110955.41,111245.69,529.62015,111819.76594719867,112306.27625352521,41.13909794360824,188.5985714285728,-23.431671314232517,SELL,-0.6000000000000001,0.0,0.0,100.0163222606429
2025-08-29 06:45:00+00:00,111245.69,111279.45,111138.38,111279.45,597.02291,111798.57708652421,112296.05907687322,38.510782603881026,188.45071428571515,-21.188860674461466,SELL,-0.6000000000000001,-1.0,-0.00030347243115658173,100.01601878821174
2025-08-29 07:00:00+00:00,111279.45,111279.45,110545.0,110545.0,547.76421,111749.41720077816,112278.6356034715,20.635339798228827,224.46785714285735,-49.15988574604853,HOLD,-0.2,-1.0,0.006600050593348561,100.02261883880509
2025-08-29 07:15:00+00:00,110545.01,110651.17,110129.78,110141.14,491.82499,111686.34750663,112257.36699050164,17.530732894895436,253.21285714285685,-63.069694148158305,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 07:30:00+00:00,110141.13,110334.85,110061.31,110061.31,390.77054,111622.62054558568,112235.51567716332,17.226429344165282,255.27000000000095,-63.72696104431816,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 07:45:00+00:00,110061.31,110180.7,109899.99,110019.38,496.58539,111559.74836732743,112213.46457589802,16.69880090324716,267.3692857142856,-62.87217825825792,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 08:00:00+00:00,110019.38,110270.3,109950.01,110052.73,291.02174,111500.6496078244,112191.96472937167,18.507537875190195,280.0492857142859,-59.09875950303103,HOLD,-0.2,0.0,0.0,100.02261883880509
2025-08-29 08:15:00+00:00,110052.72,110199.99,109933.0,110030.01,304.70589,111442.9774663411,112170.45274201475,18.924510536604473,284.89642857142877,-57.67214148330095,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 08:30:00+00:00,110030.01,110157.13,109712.67,109883.51,385.2125,111381.82187942576,112147.69709284048,18.276382319360337,303.76214285714275,-61.15558691533806,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 08:45:00+00:00,109883.51,109930.79,109610.0,109628.02,281.49825,111313.04533513455,112122.62567898138,17.35163176028786,313.3421428571424,-68.77654429120594,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 09:00:00+00:00,109628.02,109683.31,109414.18,109568.62,254.63345,111244.63649846261,112097.21268715072,17.872637371400984,321.0878571428569,-68.40883667193702,HOLD,-0.2,0.0,-0.0,100.02261883880509
2025-08-29 09:15:00+00:00,109568.62,109820.0,109560.41,109755.67,182.76315,111186.24565538565,112073.91375494027,19.529348331464334,326.6449999999999,-58.39084307696612,HOLD,-0.2,0.0,0.0,100.02261883880509
2025-08-29 09:30:00+00:00,109755.67,109822.58,109650.0,109822.58,177.51017000000002,111132.76857086072,112051.51242404534,23.11359613706246,319.1107142857145,-53.47708452492952,HOLD,-0.2,0.0,0.0,100.02261883880509
