EMA_SHORT,EMA_LONG,RSI_OVERSOLD,RSI_OVERBOUGHT,ATR_MULT,WEIGHT_EMA,WEIGHT_RSI,WEIGHT_ATR,n_trades,win_rate,total_pnl,avg_pnl,final_balance
100,300,35,60,2.5,0.3,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.5,0.5,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.3,0.5,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.5,0.4,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.3,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.3,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.5,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.5,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.4,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.4,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.5,0.3,0.5,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.5,0.4,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.3,0.5,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.3,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.4,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.0,0.4,0.4,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,2.5,0.3,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,60,1.5,0.3,0.3,0.3,3417.0,0.5021949078138718,0.20120891443255962,2.328806880006477e-05,100.20120891443256
100,300,35,70,2.0,0.4,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.0,0.3,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.5,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.4,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.4,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.3,0.5,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.3,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.5,0.3,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.0,0.5,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.0,0.4,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.0,0.3,0.5,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.5,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,2.0,0.3,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.4,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.3,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.3,0.4,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.4,0.3,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,70,1.5,0.3,0.5,0.3,2836.0,0.4954160789844852,0.19749285345831735,2.285796915026821e-05,100.19749285345831
100,300,35,65,2.5,0.3,0.3,0.3,3132.0,0.4984035759897829,0.1854907097351316,2.146883214526986e-05,100.18549070973513
100,300,35,65,2.5,0.5,0.3,0.3,3132.0,0.4984035759897829,0.1854907097351316,2.146883214526986e-05,100.18549070973513
100,300,35,65,2.5,0.4,0.3,0.3,3132.0,0.4984035759897829,0.1854907097351316,2.146883214526986e-05,100.18549070973513
100,300,35,65,1.5,0.3,0.5,0.3,3132.0,0.4984035759897829,0.1854907097351316,2.146883214526986e-05,100.18549070973513
100,300,35,65,1.5,0.4,0.3,0.3,3132.0,0.4984035759897829,0.1854907097351316,2.146883214526986e-05,100.18549070973513
